title,authors,categories,average_rating,ratings_count
Great Short Works of Herman Melville,Herman Melville,Fiction,4.02,401.0
The Day I Swapped My Dad for Two Goldfish,Neil Gaiman,Juvenile Fiction,4.03,280.0
Eleven Minutes,Paulo Coelho,Fiction,3.69,114826.0
Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,Psychology,3.77,157734.0
Ulysses S. Grant,Michael Korda,Biography & Autobiography,3.88,410.0
A Dirty Job,Christopher Moore,Fiction,4.07,88016.0
Quicksilver,Neal Stephenson,Fiction,3.93,29981.0
Every Book Its Reader,Nicholas A. Basbanes,Literary Criticism,3.96,300.0
Flirting With Danger,Suzanne Enoch,Fiction,3.93,3519.0
Lost Horizon,James Hilton,Fiction,3.92,11794.0
The Doors of Perception and Heaven and Hell,Aldous Huxley,Philosophy,3.94,27716.0
Thanksgiving,Janet Evanovich,Fiction,3.6,10334.0
Love Overboard,Janet Evanovich,Fiction,3.65,11223.0
Back to the Bedroom,Janet Evanovich,Fiction,3.67,9839.0
The Rocky Road to Romance,Janet Evanovich,Fiction,3.67,9470.0
Thomas Jefferson,Christopher Hitchens,Biography & Autobiography,3.92,2181.0
Muhammad,Karen Armstrong,Biography & Autobiography,4.04,1662.0
Meeting Jesus Again for the First Time,Marcus J. Borg,Religion,4.14,3998.0
Reading the Bible Again for the First Time,Marcus J. Borg,Religion,4.13,2875.0
Shadow of the Almighty,Elisabeth Elliot,Religion,4.39,6658.0
The Dance of the Dissident Daughter,Sue Monk Kidd,Religion,3.96,5319.0
C.S. Lewis,C. S. Lewis,Religion,4.31,255.0
The Screwtape Letters,C. S. Lewis,Religion,4.22,116735.0
Mere Christianity,C. S. Lewis,Religion,4.32,7316.0
Learning to Love,Thomas Merton,Religion,4.5,15.0
The Mediator #4: Darkest Hour,Meg Cabot,Juvenile Fiction,4.17,30018.0
Cash,Johnny Cash,Biography & Autobiography,4.07,16485.0
"The Collected Letters of C.S. Lewis, Volume 1",C. S. Lewis,Biography & Autobiography,4.37,112.0
Touching the Void,Joe Simpson,Sports & Recreation,4.21,42264.0
Anybody Out There?,Marian Keyes,Fiction,3.91,343.0
My Little Pony: Hide-and-Seek,Jennifer Frantz,Juvenile Fiction,4.14,37.0
The Confusion,Neal Stephenson,Fiction,4.25,18790.0
Bridge to Terabithia (rack),Katherine Paterson,Juvenile Fiction,3.99,1764.0
Practical Demonkeeping,Christopher Moore,Fiction,3.82,36255.0
Island of the Sequined Love Nun,Christopher Moore,Fiction,3.79,26949.0
The Lust Lizard of Melancholy Cove,Christopher Moore,Fiction,3.86,28420.0
