title,authors,categories,average_rating,ratings_count,combined_features
The Fugitive Factor,Gordon Korman,Juvenile Fiction,4.13,2464.0,The Fugitive Factor Gordon Korman Juvenile Fiction
The Stowaway Solution,Gordon Korman,Juvenile Fiction,4.11,2006.0,The Stowaway Solution Gordon Korman Juvenile Fiction
Public Enemies,Gordon Korman,Juvenile Fiction,4.19,2024.0,Public Enemies Gordon Korman Juvenile Fiction
Hunting the Hunter,Gordon Korman,Juvenile Fiction,4.21,1892.0,Hunting the Hunter Gordon Korman Juvenile Fiction
Harry Potter and the Prisoner of Azkaban (Book 3),"Rowling, J.K.",Juvenile Fiction,4.55,2149872.0,"Harry Potter and the Prisoner of Azkaban (Book 3) Rowling, J.K. Juvenile Fiction"
Underworld,Jude Watson,Juvenile Fiction,3.96,799.0,Underworld Jude Watson Juvenile Fiction
Harry Potter,J. K. Rowling,Juvenile Fiction,4.78,38872.0,Harry Potter J. K. Rowling Juvenile Fiction
Do Not Open this Book!,Michaela Muntean,Juvenile Fiction,3.89,503.0,Do Not Open this Book! Michaela Muntean Juvenile Fiction
Lady Friday,Garth Nix,Juvenile Fiction,3.92,19083.0,Lady Friday Garth Nix Juvenile Fiction
Thetale of Despereaux,Kate DiCamillo,Fairy tales,4.03,705.0,Thetale of Despereaux Kate DiCamillo Fairy tales
Inkheart,Cornelia Caroline Funke,Juvenile Fiction,3.87,309700.0,Inkheart Cornelia Caroline Funke Juvenile Fiction
"Where We Are, what We See",David Levithan,Juvenile Nonfiction,3.73,41.0,"Where We Are, what We See David Levithan Juvenile Nonfiction"
Sunny the Yellow Fairy,Daisy Meadows,Juvenile Fiction,3.83,2296.0,Sunny the Yellow Fairy Daisy Meadows Juvenile Fiction
Sky the Blue Fairy,Daisy Meadows;Georgie Ripper,Juvenile Fiction,3.83,2191.0,Sky the Blue Fairy Daisy Meadows;Georgie Ripper Juvenile Fiction
Inky the Indigo Fairy,Daisy Meadows,Juvenile Fiction,3.79,1971.0,Inky the Indigo Fairy Daisy Meadows Juvenile Fiction
Heather the Violet Fairy,Daisy Meadows,Juvenile Fiction,3.85,2197.0,Heather the Violet Fairy Daisy Meadows Juvenile Fiction
Fourth of July mice,Bethany Roberts,Music,3.23,1.0,Fourth of July mice Bethany Roberts Music
Harry Potter and the Half-Blood Prince (Book 6),"Rowling, J.K.",Juvenile Fiction,4.56,1944099.0,"Harry Potter and the Half-Blood Prince (Book 6) Rowling, J.K. Juvenile Fiction"
Your Best Friend's Boyfriend,J. E. Bright,Juvenile Fiction,3.35,48.0,Your Best Friend's Boyfriend J. E. Bright Juvenile Fiction
The Case of the Snowboarding Superstar,James Preller,Juvenile Fiction,3.97,117.0,The Case of the Snowboarding Superstar James Preller Juvenile Fiction
Thorn in Her Side,Jane B. Mason;Sarah Hines-Stephens,Juvenile Fiction,3.87,210.0,Thorn in Her Side Jane B. Mason;Sarah Hines-Stephens Juvenile Fiction
Gothic!,Deborah Noyes,Horror stories,3.55,14.0,Gothic! Deborah Noyes Horror stories
A break with charity,Ann Rinaldi,Trials (Witchcraft),3.79,37.0,A break with charity Ann Rinaldi Trials (Witchcraft)
Runny Babbit,Shel Silverstein,"Children's poetry, American",4.12,51.0,"Runny Babbit Shel Silverstein Children's poetry, American"
The Harry Potter Collection,J. K. Rowling,Juvenile Fiction,4.73,27410.0,The Harry Potter Collection J. K. Rowling Juvenile Fiction
No Accident,Emily Blake,Juvenile Fiction,4.17,319.0,No Accident Emily Blake Juvenile Fiction
The Abduction,Gordon Korman,Juvenile Fiction,3.99,3232.0,The Abduction Gordon Korman Juvenile Fiction
Mister Monday,Garth Nix,Juvenile Fiction,3.78,30795.0,Mister Monday Garth Nix Juvenile Fiction
Ghosthunters and the Muddy Monster of Doom!,Cornelia Caroline Funke,Ghost stories,3.92,510.0,Ghosthunters and the Muddy Monster of Doom! Cornelia Caroline Funke Ghost stories
The Trouble with Violet,Anne Mazer,Juvenile Fiction,3.9,221.0,The Trouble with Violet Anne Mazer Juvenile Fiction
Violet Makes a Splash,Anne Mazer,Juvenile Fiction,3.95,116.0,Violet Makes a Splash Anne Mazer Juvenile Fiction
Guardians of Ga'hoole,Kathryn Lasky,Juvenile Fiction,4.25,595.0,Guardians of Ga'hoole Kathryn Lasky Juvenile Fiction
This is Push,David Levithan,Juvenile Fiction,3.62,222.0,This is Push David Levithan Juvenile Fiction
The Case of the Kidnapped Candy,James Preller,Juvenile Fiction,3.74,100.0,The Case of the Kidnapped Candy James Preller Juvenile Fiction
Awakening,Robin Wasserman,Juvenile Fiction,3.95,2551.0,Awakening Robin Wasserman Juvenile Fiction
Betrayal,Robin Wasserman,Juvenile Fiction,3.97,1431.0,Betrayal Robin Wasserman Juvenile Fiction
Hello! Is That Grandma?,Ian Whybrow;Deborah Allwright,Children's stories,3.51,54.0,Hello! Is That Grandma? Ian Whybrow;Deborah Allwright Children's stories
Savage Stone Age Sticker Book,Terry Deary;Martin Brown,Stone age,4.0,9.0,Savage Stone Age Sticker Book Terry Deary;Martin Brown Stone age
Trickster's Choice,Tamora Pierce,Alanna (Fictitious character : Pierce),4.28,43122.0,Trickster's Choice Tamora Pierce Alanna (Fictitious character : Pierce)
Northern Lights,Philip Pullman,Arctic regions,3.96,751.0,Northern Lights Philip Pullman Arctic regions
Mary Queen of Scots and Her Hopeless Husbands,Margaret Simpson,Queens,3.68,126.0,Mary Queen of Scots and Her Hopeless Husbands Margaret Simpson Queens
A Man's Protection,Jayne Castle,Fiction,3.88,266.0,A Man's Protection Jayne Castle Fiction
The New Centurions,Joseph Wambaugh,Fiction,3.93,2068.0,The New Centurions Joseph Wambaugh Fiction
A Pinch of Snuff,Reginald Hill,Fiction,3.85,1052.0,A Pinch of Snuff Reginald Hill Fiction
Suffer the Children,John Saul,Fiction,3.91,27480.0,Suffer the Children John Saul Fiction
Tai-Pan,James Clavell,Fiction,4.27,38015.0,Tai-Pan James Clavell Fiction
Tinsel,William Goldman,Fiction,3.18,253.0,Tinsel William Goldman Fiction
Serenissima,Erica Jong,Fiction,3.26,271.0,Serenissima Erica Jong Fiction
An Acceptable Time,Madeleine L'Engle,Juvenile Fiction,3.82,15906.0,An Acceptable Time Madeleine L'Engle Juvenile Fiction
Drawing Blood,Poppy Z. Brite,Fiction,4.03,8674.0,Drawing Blood Poppy Z. Brite Fiction
The Blue Knight,Joseph Wambaugh,Los Angeles (Calif.),3.88,1262.0,The Blue Knight Joseph Wambaugh Los Angeles (Calif.)
Gai-Jin,James Clavell,Fiction,3.86,10305.0,Gai-Jin James Clavell Fiction
Drop Shot,Harlan Coben,Fiction,3.93,19585.0,Drop Shot Harlan Coben Fiction
The Fiery Cross,Diana Gabaldon,Fiction,4.27,120981.0,The Fiery Cross Diana Gabaldon Fiction
Purple Cane Road,James Lee Burke,Fiction,4.15,5304.0,Purple Cane Road James Lee Burke Fiction
Number the Stars,Lois Lowry,Juvenile Fiction,4.13,379669.0,Number the Stars Lois Lowry Juvenile Fiction
Many Waters,Madeleine L'Engle,Juvenile Fiction,3.99,515.0,Many Waters Madeleine L'Engle Juvenile Fiction
Demon in My View,Amelia Atwater-Rhodes,Juvenile Fiction,4.04,10803.0,Demon in My View Amelia Atwater-Rhodes Juvenile Fiction
The Cricket in Times Square,George Selden,Juvenile Fiction,4.02,54174.0,The Cricket in Times Square George Selden Juvenile Fiction
Skellig,David Almond,Juvenile Fiction,3.79,16388.0,Skellig David Almond Juvenile Fiction
The Cay,Theodore Taylor,Juvenile Fiction,3.75,28138.0,The Cay Theodore Taylor Juvenile Fiction
Flags Of Our Fathers,James Bradley,Juvenile Fiction,4.17,235.0,Flags Of Our Fathers James Bradley Juvenile Fiction
For All Time,Caroline B. Cooney,Juvenile Fiction,3.91,1584.0,For All Time Caroline B. Cooney Juvenile Fiction
How Angel Peterson Got His Name,Gary Paulsen,Juvenile Nonfiction,3.93,1139.0,How Angel Peterson Got His Name Gary Paulsen Juvenile Nonfiction
Shattered Mirror,Amelia Atwater-Rhodes,Juvenile Fiction,4.03,9290.0,Shattered Mirror Amelia Atwater-Rhodes Juvenile Fiction
The Testament,John Grisham,Fiction,3.85,85975.0,The Testament John Grisham Fiction
The Smoke Jumper,Nicholas Evans,Fiction,4.06,28164.0,The Smoke Jumper Nicholas Evans Fiction
Gone for Good,Harlan Coben,Fiction,4.11,33601.0,Gone for Good Harlan Coben Fiction
The Coalwood Way,Homer H. Hickam,Biography & Autobiography,4.13,1146.0,The Coalwood Way Homer H. Hickam Biography & Autobiography
Midnight Predator,Amelia Atwater-Rhodes,Juvenile Fiction,4.02,7939.0,Midnight Predator Amelia Atwater-Rhodes Juvenile Fiction
The Subtle Knife,Philip Pullman,Juvenile Fiction,4.12,4587.0,The Subtle Knife Philip Pullman Juvenile Fiction
Quiver,Stephanie Spinner,Juvenile Fiction,3.51,823.0,Quiver Stephanie Spinner Juvenile Fiction
Slightly Wicked,Mary Balogh,Fiction,4.0,8070.0,Slightly Wicked Mary Balogh Fiction
The Rule of Four,Ian Caldwell;Dustin Thomason,Fiction,3.22,24001.0,The Rule of Four Ian Caldwell;Dustin Thomason Fiction
Shopaholic Ties the Knot,Sophie Kinsella,Fiction,3.77,93132.0,Shopaholic Ties the Knot Sophie Kinsella Fiction
Outlander,Diana Gabaldon,Fiction,4.22,627194.0,Outlander Diana Gabaldon Fiction
The Gilded Web,Mary Balogh,Fiction,3.58,2562.0,The Gilded Web Mary Balogh Fiction
Blessings,Belva Plain,Fiction,3.91,2511.0,Blessings Belva Plain Fiction
18 Best Stories,Edgar Allan Poe,Fiction,4.02,395.0,18 Best Stories Edgar Allan Poe Fiction
My Name is Aram,William Saroyan,Fiction,4.15,975.0,My Name is Aram William Saroyan Fiction
The Turn of the Screw and Daisy Miller,Henry James,Popular literature,3.62,940.0,The Turn of the Screw and Daisy Miller Henry James Popular literature
About the B'nai Bagels,E.L. Konigsburg,Juvenile Fiction,3.56,296.0,About the B'nai Bagels E.L. Konigsburg Juvenile Fiction
Anastasia on Her Own,Lois Lowry,Juvenile Fiction,3.89,1498.0,Anastasia on Her Own Lois Lowry Juvenile Fiction
Escape from Fire Mountain,Gary Paulsen,Juvenile Fiction,3.7,112.0,Escape from Fire Mountain Gary Paulsen Juvenile Fiction
The Children on the Top Floor,Noel Streatfeild,Television,3.78,143.0,The Children on the Top Floor Noel Streatfeild Television
Make Four Million Dollars by Next Thursday!,Stephen Manes,Juvenile Fiction,3.7,77.0,Make Four Million Dollars by Next Thursday! Stephen Manes Juvenile Fiction
"See You Around, Sam!",Lois Lowry,Juvenile Fiction,3.68,235.0,"See You Around, Sam! Lois Lowry Juvenile Fiction"
Stay!,Lois Lowry,Juvenile Fiction,3.92,188.0,Stay! Lois Lowry Juvenile Fiction
Summer of the Monkeys,Wilson Rawls,Juvenile Fiction,4.03,10711.0,Summer of the Monkeys Wilson Rawls Juvenile Fiction
Stargirl,Jerry Spinelli,Juvenile Fiction,3.76,1917.0,Stargirl Jerry Spinelli Juvenile Fiction
Harriet Spies Again,Helen Ericson;Louise Fitzhugh,Juvenile Fiction,3.83,1316.0,Harriet Spies Again Helen Ericson;Louise Fitzhugh Juvenile Fiction
The Boys Start the War,Phyllis Reynolds Naylor,Juvenile Fiction,4.02,1511.0,The Boys Start the War Phyllis Reynolds Naylor Juvenile Fiction
Vincent Van Gogh,Jan Greenberg;Sandra Jane Jordan,Juvenile Nonfiction,3.95,209.0,Vincent Van Gogh Jan Greenberg;Sandra Jane Jordan Juvenile Nonfiction
The Orange Trees of Versailles,Annie Pietri,Juvenile Fiction,3.77,174.0,The Orange Trees of Versailles Annie Pietri Juvenile Fiction
Tucket's Travels,Gary Paulsen,Juvenile Fiction,4.43,538.0,Tucket's Travels Gary Paulsen Juvenile Fiction
The Silent Boy,Lois Lowry,Juvenile Fiction,3.72,4933.0,The Silent Boy Lois Lowry Juvenile Fiction
The Pizza Monster,Marjorie Weinman Sharmat;Mitchell Sharmat,Juvenile Fiction,3.55,56.0,The Pizza Monster Marjorie Weinman Sharmat;Mitchell Sharmat Juvenile Fiction
The Sly Spy,Marjorie Weinman Sharmat,Juvenile Fiction,3.79,53.0,The Sly Spy Marjorie Weinman Sharmat Juvenile Fiction
The Green Toenails Gang,Marjorie Weinman Sharmat,Juvenile Fiction,3.74,41.0,The Green Toenails Gang Marjorie Weinman Sharmat Juvenile Fiction
Hoot,Carl Hiaasen,Bullying,3.82,83557.0,Hoot Carl Hiaasen Bullying
War Comes to Willy Freeman,James Lincoln Collier,Juvenile Fiction,3.6,253.0,War Comes to Willy Freeman James Lincoln Collier Juvenile Fiction
A Wrinkle in Time,Madeleine L'Engle,Juvenile Fiction,4.01,665242.0,A Wrinkle in Time Madeleine L'Engle Juvenile Fiction
Masks of the Illuminati,Robert Anton Wilson,Fiction,4.0,200.0,Masks of the Illuminati Robert Anton Wilson Fiction
"I'm Good Enough, I'm Smart Enough, and Doggone It, People Like Me!",Al Franken;Stuart Smalley,Humor,3.8,352.0,"I'm Good Enough, I'm Smart Enough, and Doggone It, People Like Me! Al Franken;Stuart Smalley Humor"
Your Eight Year Old,Louise Bates Ames;Carol Chase Haber,Family & Relationships,3.88,177.0,Your Eight Year Old Louise Bates Ames;Carol Chase Haber Family & Relationships
Charlotte sometimes,Penelope Farmer;Eleanor Cameron,Fiction,4.09,34.0,Charlotte sometimes Penelope Farmer;Eleanor Cameron Fiction
Roald Dahl's James and the giant peach,Roald Dahl,Drama,4.04,8.0,Roald Dahl's James and the giant peach Roald Dahl Drama
Beowulf,Robert Nye,Fiction,3.49,1615.0,Beowulf Robert Nye Fiction
A Ring of Endless Light,Madeleine L'Engle,Death,4.15,16513.0,A Ring of Endless Light Madeleine L'Engle Death
A House Like a Lotus,Madeleine L'Engle,Adolescence,3.76,3882.0,A House Like a Lotus Madeleine L'Engle Adolescence
Thursday's Children,Rumer Godden,Juvenile Fiction,4.27,338.0,Thursday's Children Rumer Godden Juvenile Fiction
Starplex,Robert J. Sawyer,Fiction,3.83,1267.0,Starplex Robert J. Sawyer Fiction
Tramp Royale,Robert Anson Heinlein,Biography & Autobiography,3.7,680.0,Tramp Royale Robert Anson Heinlein Biography & Autobiography
The Hero and the Crown,Robin McKinley,Fiction,4.21,70.0,The Hero and the Crown Robin McKinley Fiction
Rose Daughter,Robin McKinley,Juvenile Fiction,3.77,16756.0,Rose Daughter Robin McKinley Juvenile Fiction
Riddle-master,Patricia A. McKillip,Fiction,4.22,9117.0,Riddle-master Patricia A. McKillip Fiction
The Mirror of Merlin,T. A. Barron,Fiction,4.06,6682.0,The Mirror of Merlin T. A. Barron Fiction
The Lost Years of Merlin,T. A. Barron,Fiction,3.98,12114.0,The Lost Years of Merlin T. A. Barron Fiction
Neuromancer,William Gibson,Fiction,3.89,1617.0,Neuromancer William Gibson Fiction
Conqueror's Moon,Julian May,Fiction,3.33,515.0,Conqueror's Moon Julian May Fiction
Rocket Ship Galileo,Robert Anson Heinlein,Fiction,3.71,6199.0,Rocket Ship Galileo Robert Anson Heinlein Fiction
Deerskin,Robin McKinley,Fiction,3.89,17073.0,Deerskin Robin McKinley Fiction
Camouflage,Joe W. Haldeman,Fiction,3.63,4836.0,Camouflage Joe W. Haldeman Fiction
Dragon's Treasure,Elizabeth A. Lynn,Fiction,3.53,165.0,Dragon's Treasure Elizabeth A. Lynn Fiction
The Rosetta Codex,Richard Paul Russo,Fiction,3.23,21.0,The Rosetta Codex Richard Paul Russo Fiction
Old Twentieth,Joe Haldeman,Fiction,3.53,1138.0,Old Twentieth Joe Haldeman Fiction
Count Zero,William Gibson,Fiction,4.01,36066.0,Count Zero William Gibson Fiction
The God in the Moon,Richard A. Knaak,Fiction,3.72,57.0,The God in the Moon Richard A. Knaak Fiction
Harrowing the Dragon,Patricia A. McKillip,Fiction,3.94,1567.0,Harrowing the Dragon Patricia A. McKillip Fiction
The Eye of Charon,Richard A. Knaak,Fiction,3.88,41.0,The Eye of Charon Richard A. Knaak Fiction
Cygnet,Patricia A. McKillip,Fiction,4.08,535.0,Cygnet Patricia A. McKillip Fiction
Magic Bites,Ilona Andrews,Fiction,4.07,82231.0,Magic Bites Ilona Andrews Fiction
The Castle of the Silver Wheel,Teresa Edgerton,Fiction,3.99,86.0,The Castle of the Silver Wheel Teresa Edgerton Fiction
Chapterhouse: Dune,Frank Herbert,Fiction,3.9,38651.0,Chapterhouse: Dune Frank Herbert Fiction
Betcha Can't Read Just One,Alan Dean Foster,Fiction,3.88,49.0,Betcha Can't Read Just One Alan Dean Foster Fiction
Hard Sell,Piers Anthony,Fiction,3.39,694.0,Hard Sell Piers Anthony Fiction
Killobyte,Piers Anthony,Fiction,3.55,1527.0,Killobyte Piers Anthony Fiction
Madouc,Jack Vance,Fiction,4.15,1766.0,Madouc Jack Vance Fiction
The Moon in Hiding,Teresa Edgerton,Fiction,4.0,160.0,The Moon in Hiding Teresa Edgerton Fiction
The 97th Step,Steve Perry,Fiction,4.22,734.0,The 97th Step Steve Perry Fiction
The Omega Cage,Steve Perry;Michael Reaves,Fiction,3.77,520.0,The Omega Cage Steve Perry;Michael Reaves Fiction
Robot Adept,Piers Anthony,Fiction,3.78,6092.0,Robot Adept Piers Anthony Fiction
To Sail Beyond the Sunset,Robert A. Heinlein,Fiction,3.87,10140.0,To Sail Beyond the Sunset Robert A. Heinlein Fiction
Vision of Tarot,Piers Anthony,Fiction,3.46,1472.0,Vision of Tarot Piers Anthony Fiction
Anesthesiology Review,Ronald J. Faust;Roy F. Cucchiara,Medical,3.64,11.0,Anesthesiology Review Ronald J. Faust;Roy F. Cucchiara Medical
Cast a Yellow Shadow,Ross Thomas,Fiction,3.95,192.0,Cast a Yellow Shadow Ross Thomas Fiction
Nothing Lasts Forever,Sidney Sheldon,Fiction,3.83,25396.0,Nothing Lasts Forever Sidney Sheldon Fiction
Carrion Comfort,Dan Simmons,Fiction,3.9,15056.0,Carrion Comfort Dan Simmons Fiction
Summer of Night,Dan Simmons,Fiction,4.02,15327.0,Summer of Night Dan Simmons Fiction
Back Bay,William Martin,Fiction,3.91,1557.0,Back Bay William Martin Fiction
Bare Bones,Stephen King;Tim Underwood,Fiction,4.16,3050.0,Bare Bones Stephen King;Tim Underwood Fiction
Kushiel's Justice,Jacqueline Carey,Fiction,4.25,15531.0,Kushiel's Justice Jacqueline Carey Fiction
The Celestine Prophecy,James Redfield,Fiction,3.63,1280.0,The Celestine Prophecy James Redfield Fiction
"Martin Luther King, Jr",Martin Luther Jr King,African Americans,3.96,1018.0,"Martin Luther King, Jr Martin Luther Jr King African Americans"
Ten Things I Wish I'd Known - Before I Went Out into the Real World,Maria Shriver,Self-Help,3.69,980.0,Ten Things I Wish I'd Known - Before I Went Out into the Real World Maria Shriver Self-Help
The Collectors,David Baldacci,Fiction,4.02,32713.0,The Collectors David Baldacci Fiction
The Book of the Dead,Douglas J. Preston;Lincoln Child,Fiction,4.14,25505.0,The Book of the Dead Douglas J. Preston;Lincoln Child Fiction
The Everyday Life Bible,Joyce Meyer,Bibles,4.7,1715.0,The Everyday Life Bible Joyce Meyer Bibles
The Serial Killers Club,Jeff Povey,Fiction,3.21,105.0,The Serial Killers Club Jeff Povey Fiction
I Like You,Amy Sedaris,Cooking,3.87,36756.0,I Like You Amy Sedaris Cooking
The Red Gloves Collection,Karen Kingsbury,Fiction,4.48,689.0,The Red Gloves Collection Karen Kingsbury Fiction
The Coming Economic Collapse,Stephen Leeb;Glen Strathy,Business & Economics,3.39,207.0,The Coming Economic Collapse Stephen Leeb;Glen Strathy Business & Economics
Where There's Smoke,Sandra Brown,Fiction,3.96,5683.0,Where There's Smoke Sandra Brown Fiction
Season of the Machete,James Patterson,Fiction,3.24,5401.0,Season of the Machete James Patterson Fiction
Assumed Identity,David Morrell,Fiction,3.78,1091.0,Assumed Identity David Morrell Fiction
Charade,Sandra Brown,Fiction,3.93,5856.0,Charade Sandra Brown Fiction
Night Train to Memphis,Elizabeth Peters,Fiction,4.06,3788.0,Night Train to Memphis Elizabeth Peters Fiction
Exclusive,Sandra Brown,Fiction,3.96,5660.0,Exclusive Sandra Brown Fiction
The Laws of Our Fathers,Scott Turow,Fiction,3.75,3559.0,The Laws of Our Fathers Scott Turow Fiction
The Neutronium Alchemist,Peter F. Hamilton,Fiction,4.33,3230.0,The Neutronium Alchemist Peter F. Hamilton Fiction
Fat Tuesday,Sandra Brown,Fiction,3.84,8024.0,Fat Tuesday Sandra Brown Fiction
Message in a Bottle,Nicholas Sparks,Fiction,3.96,2714.0,Message in a Bottle Nicholas Sparks Fiction
Death of a Gossip,M. C. Beaton,Fiction,3.72,9244.0,Death of a Gossip M. C. Beaton Fiction
Tell Me Your Dreams,Sidney Sheldon,Fiction,3.95,38078.0,Tell Me Your Dreams Sidney Sheldon Fiction
Death of an Addict,M. C. Beaton,Fiction,3.8,2840.0,Death of an Addict M. C. Beaton Fiction
The Wild Swans,Peg Kerr,Fiction,3.66,336.0,The Wild Swans Peg Kerr Fiction
Personal Injuries,Scott Turow,Fiction,3.85,5039.0,Personal Injuries Scott Turow Fiction
Saving Faith,David Baldacci,Fiction,3.86,14862.0,Saving Faith David Baldacci Fiction
A Highland Christmas,M. C. Beaton,Fiction,3.86,3455.0,A Highland Christmas M. C. Beaton Fiction
The Sky Is Falling,Sidney Sheldon,Fiction,3.56,16782.0,The Sky Is Falling Sidney Sheldon Fiction
Suzanne's Diary for Nicholas,James Patterson,Fiction,4.16,128191.0,Suzanne's Diary for Nicholas James Patterson Fiction
Up Country,Nelson DeMille,Fiction,4.02,14167.0,Up Country Nelson DeMille Fiction
Reversible Errors,Scott Turow,Fiction,3.84,4943.0,Reversible Errors Scott Turow Fiction
Still Life with Crows,Douglas Preston;Lincoln Child,Fiction,4.19,25211.0,Still Life with Crows Douglas Preston;Lincoln Child Fiction
Words of Silk,Sandra Brown,Fiction,3.55,2600.0,Words of Silk Sandra Brown Fiction
3rd Degree,James Patterson;Andrew Gross,Fiction,4.01,60777.0,3rd Degree James Patterson;Andrew Gross Fiction
Kitty and the Midnight Hour,Carrie Vaughn,Fiction,3.66,26939.0,Kitty and the Midnight Hour Carrie Vaughn Fiction
Love Beyond Reason,Sandra Brown,Fiction,3.64,1764.0,Love Beyond Reason Sandra Brown Fiction
The White Wolf's Son,Michael Moorcock,Fiction,3.86,272.0,The White Wolf's Son Michael Moorcock Fiction
The Angel Experiment,James Patterson,Fiction,4.08,184133.0,The Angel Experiment James Patterson Fiction
Best Science Fiction Stories of Clifford D. Simak,Clifford D. Simak,"Science fiction, American",3.94,62.0,"Best Science Fiction Stories of Clifford D. Simak Clifford D. Simak Science fiction, American"
Curries Without Worries,Sudha Koul,Cooking,3.98,35.0,Curries Without Worries Sudha Koul Cooking
One L,Scott Turow,Law,3.66,5872.0,One L Scott Turow Law
When the Wind Blows,James Patterson,Fiction,3.92,41994.0,When the Wind Blows James Patterson Fiction
"The Autobiography of Martin Luther King, Jr.",Clayborne Carson,Biography & Autobiography,4.34,13079.0,"The Autobiography of Martin Luther King, Jr. Clayborne Carson Biography & Autobiography"
Hope is the Thing with Feathers,Christopher Cokinos,Nature,4.21,294.0,Hope is the Thing with Feathers Christopher Cokinos Nature
Cane River,Lalita Tademy,Fiction,4.05,41627.0,Cane River Lalita Tademy Fiction
Plum Island,Nelson DeMille,Fiction,4.04,34296.0,Plum Island Nelson DeMille Fiction
Gloriana,Michael Moorcock,Fiction,3.64,1699.0,Gloriana Michael Moorcock Fiction
The War of Art,Steven Pressfield,Self-Help,4.02,46883.0,The War of Art Steven Pressfield Self-Help
The Daily Show with Jon Stewart Presents America (The Book) Teacher's Edition,Jon Stewart;The Writers of The Daily Show,Humor,4.02,1819.0,The Daily Show with Jon Stewart Presents America (The Book) Teacher's Edition Jon Stewart;The Writers of The Daily Show Humor
Feynman's Rainbow,Leonard Mlodinow,Science,4.0,2635.0,Feynman's Rainbow Leonard Mlodinow Science
Three Weeks with My Brother,Nicholas Sparks;Micah Sparks,Biography & Autobiography,4.02,35997.0,Three Weeks with My Brother Nicholas Sparks;Micah Sparks Biography & Autobiography
Sister Freaks,Rebecca St. James,Religion,4.11,485.0,Sister Freaks Rebecca St. James Religion
Strip Tease,Carl Hiaasen,Fiction,3.84,12108.0,Strip Tease Carl Hiaasen Fiction
The Guardian,Nicholas Sparks,Fiction,4.15,144654.0,The Guardian Nicholas Sparks Fiction
True Believer,Nicholas Sparks,Fiction,3.8,66639.0,True Believer Nicholas Sparks Fiction
1st to Die,James Patterson,Fiction,4.07,259028.0,1st to Die James Patterson Fiction
Fear and Loathing,Hunter S. Thompson,Biography & Autobiography,4.11,16591.0,Fear and Loathing Hunter S. Thompson Biography & Autobiography
The Black Dahlia,James Ellroy,Fiction,3.75,68551.0,The Black Dahlia James Ellroy Fiction
Robert Ludlum's (TM) The Arctic Event,Robert Ludlum;James H. Cobb,Fiction,4.01,4299.0,Robert Ludlum's (TM) The Arctic Event Robert Ludlum;James H. Cobb Fiction
The Closers,Michael Connelly,Fiction,4.12,28571.0,The Closers Michael Connelly Fiction
The Haunted Bridge,Carolyn Keene,Juvenile Fiction,3.92,7364.0,The Haunted Bridge Carolyn Keene Juvenile Fiction
Anne of Avonlea,Lucy Maud Montgomery,Juvenile Fiction,4.22,79.0,Anne of Avonlea Lucy Maud Montgomery Juvenile Fiction
The Mysteries of Sherlock Holmes,Sir Arthur Conan Doyle,Juvenile Fiction,4.18,120.0,The Mysteries of Sherlock Holmes Sir Arthur Conan Doyle Juvenile Fiction
Nancy Drew Starter Set,Carolyn Keene,Juvenile Fiction,4.25,2579.0,Nancy Drew Starter Set Carolyn Keene Juvenile Fiction
Lara's Leap of Faith,Alexandra Moss,Juvenile Fiction,4.06,151.0,Lara's Leap of Faith Alexandra Moss Juvenile Fiction
Who Was John F. Kennedy?,Yona Zeldis McDonough;Jill Weber,Juvenile Nonfiction,4.19,598.0,Who Was John F. Kennedy? Yona Zeldis McDonough;Jill Weber Juvenile Nonfiction
Isabelle's Perfect Performance,Alexandra Moss,Juvenile Fiction,4.05,124.0,Isabelle's Perfect Performance Alexandra Moss Juvenile Fiction
Boys Or Ballet?,Alexandra Moss,Juvenile Fiction,3.86,93.0,Boys Or Ballet? Alexandra Moss Juvenile Fiction
Who Was Anne Frank?,Ann Abramson,Juvenile Nonfiction,4.26,1763.0,Who Was Anne Frank? Ann Abramson Juvenile Nonfiction
The Gift of Asher Lev,Chaim Potok,Fiction,4.15,6071.0,The Gift of Asher Lev Chaim Potok Fiction
Wartime Lies,Louis Begley,Fiction,3.7,503.0,Wartime Lies Louis Begley Fiction
Naked Came the Manatee,Carl Hiaasen;Dave Barry;Elmore Leonard,Fiction,3.49,2253.0,Naked Came the Manatee Carl Hiaasen;Dave Barry;Elmore Leonard Fiction
Murder in Foggy Bottom,Margaret Truman,Fiction,3.7,657.0,Murder in Foggy Bottom Margaret Truman Fiction
Your Oasis on Flame Lake,Lorna Landvik,Fiction,3.59,2140.0,Your Oasis on Flame Lake Lorna Landvik Fiction
The Bride Finder,Susan Carroll,Fiction,3.81,1215.0,The Bride Finder Susan Carroll Fiction
A Thread of Grace,Mary Doria Russell,Fiction,4.02,11450.0,A Thread of Grace Mary Doria Russell Fiction
Children of God,Mary Doria Russell,Fiction,4.06,14493.0,Children of God Mary Doria Russell Fiction
Catching Alice,Clare Naylor,Fiction,3.35,916.0,Catching Alice Clare Naylor Fiction
A Pirate Looks at Fifty,Jimmy Buffett,Biography & Autobiography,3.83,2927.0,A Pirate Looks at Fifty Jimmy Buffett Biography & Autobiography
Midnight Voices,John Saul,Fiction,3.75,2696.0,Midnight Voices John Saul Fiction
Murder at Ford's Theatre,Margaret Truman,Fiction,3.72,592.0,Murder at Ford's Theatre Margaret Truman Fiction
